Age,Female,Male
5,0.6930,0.6056
6,0.7263,0.6596
7,0.7578,0.7096
8,0.7874,0.7556
9,0.8152,0.7976
10,0.8413,0.8356
11,0.8654,0.8696
12,0.8878,0.8996
13,0.9084,0.9256
14,0.9271,0.9476
15,0.9440,0.9656
16,0.9600,0.9796
17,0.9760,0.9916
18,0.9893,0.9993
19,0.9973,1.0000
20,1.0000,1.0000
21,1.0000,1.0000
22,1.0000,1.0000
23,1.0000,1.0000
24,1.0000,1.0000
25,1.0000,1.0000
26,1.0000,1.0000
27,1.0000,1.0000
28,1.0000,1.0000
29,1.0000,1.0000
30,1.0000,1.0000
31,0.9998,1.0000
32,0.9989,0.9998
33,0.9974,0.9989
34,0.9953,0.9973
35,0.9926,0.9950
36,0.9893,0.9920
37,0.9854,0.9882
38,0.9808,0.9837
39,0.9757,0.9784
40,0.9699,0.9725
41,0.9635,0.9658
42,0.9565,0.9584
43,0.9489,0.9506
44,0.9406,0.9428
45,0.9318,0.9350
46,0.9223,0.9273
47,0.9122,0.9195
48,0.9016,0.9117
49,0.8906,0.9039
50,0.8796,0.8961
51,0.8686,0.8884
52,0.8576,0.8806
53,0.8466,0.8728
54,0.8356,0.8650
55,0.8246,0.8572
56,0.8136,0.8495
57,0.8026,0.8417
58,0.7916,0.8339
59,0.7806,0.8261
60,0.7696,0.8183
61,0.7586,0.8106
62,0.7476,0.8028
63,0.7366,0.7950
64,0.7256,0.7872
65,0.7146,0.7794
66,0.7036,0.7717
67,0.6926,0.7639
68,0.6816,0.7561
69,0.6706,0.7483
70,0.6596,0.7405
71,0.6486,0.7324
72,0.6376,0.7236
73,0.6266,0.7140
74,0.6156,0.7038
75,0.6042,0.6929
76,0.5920,0.6813
77,0.5790,0.6689
78,0.5652,0.6559
79,0.5506,0.6422
80,0.5352,0.6277
81,0.5190,0.6126
82,0.5020,0.5968
83,0.4842,0.5802
84,0.4656,0.5630
85,0.4462,0.5451
86,0.4260,0.5265
87,0.4050,0.5071
88,0.3832,0.4871
89,0.3606,0.4664
90,0.3372,0.4449
91,0.3130,0.4228
92,0.2880,0.4000
93,0.2622,0.3764
94,0.2356,0.3522
95,0.2082,0.3273
96,0.1800,0.3017
97,0.1510,0.2753
98,0.1212,0.2483
99,0.0906,0.2206
100,0.0592,0.1921
