"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
300,20,1,0.9,2,111,10,5.27109078667789,26.8178763645223,-4.72890921332211,48.9122799487199,0.06,0.07
300,20,1,0.9,3,69,10,7.30077166850369,20.8060374979229,-2.69922833149631,27.8838107084961,0.5,0.73
300,20,1,0.9,4,48,10,8.97289186421204,8.92795782240855,-1.02710813578796,9.89362936678628,0.69,0.91
300,20,1,0.9,5,36,10,9.40908581352513,7.53806598612262,-0.590914186474869,7.81186490203865,0.8,0.93
300,20,1,0.9,6,27,10,9.68492234093289,3.63781460050687,-0.315077659067111,3.70071038574502,0.84,0.97
300,20,1,0.9,7,21,10,9.92088785478768,2.61329569837505,-0.0791121452123189,2.5934214729114,0.88,0.98
300,20,1,0.9,8,17,10,10.0312396350156,0.666381098464763,0.0312396350156146,0.660693202276024,0.88,1
300,20,1,0.9,9,13,10,10.1104735676496,0.470647764404048,0.110473567649599,0.478145695909238,0.91,1
300,20,1,0.9,10,11,10,9.96903915240197,1.4139737751404,-0.0309608475980276,1.40079261147298,0.93,0.99
300,20,1,0.9,11,8,10,10.0712141272162,0.412274169460031,0.0712141272161819,0.413222879680593,0.9,1
300,20,1,0.9,12,6,10,10.1008027717107,0.426353162366137,0.100802771710727,0.432250829527041,0.9,1
300,20,1,0.9,13,5,10,9.9867950346389,0.253409104080582,-0.0132049653611048,0.251049384149964,0.99,1
300,20,1,0.9,14,3,10,9.92989461391339,0.381134617254671,-0.0701053860866114,0.382238036240477,0.92,1
300,20,1,0.9,15,2,10,9.91335270991681,0.33404500543093,-0.086647290083187,0.338212308255381,0.97,1
