"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,40,0.6,1,2,58,1,0.549613362468701,1.14987766716293,-0.450386637531299,1.34122701375805,0.05,0.08
200,40,0.6,1,3,37,1,0.804627154471893,1.25772764721869,-0.195372845528107,1.28332091951625,0.49,0.27
200,40,0.6,1,4,27,1,0.768794781022294,0.863475350460002,-0.231205218977706,0.908296450237931,0.66,0.23
200,40,0.6,1,5,21,1,1.00957962646525,1.02880828441882,0.00957962646524968,1.01861197081785,0.83,0.3
200,40,0.6,1,6,16,1,0.871631754301603,0.722965490029908,-0.128368245698397,0.732214241633292,0.88,0.29
200,40,0.6,1,7,13,1,0.727034354265557,0.68413256012444,-0.272965645734443,0.751801478274417,0.83,0.27
200,40,0.6,1,8,11,1,1.00674316973721,0.44236844970724,0.00674316973720668,0.437990235548272,0.95,0.35
200,40,0.6,1,9,9,1,1.09996120760135,0.535222199461139,0.0999612076013499,0.539862220491648,0.92,0.36
200,40,0.6,1,10,8,1,0.916653644141526,0.559759353278032,-0.0833463558584738,0.561108374780139,0.94,0.27
200,40,0.6,1,11,7,1,1.02589114208816,0.499582077982508,0.0258911420881578,0.495256608441312,0.9,0.41
200,40,0.6,1,12,6,1,1.11147315758118,0.441305916714356,0.111473157581177,0.449319122408331,0.9,0.45
200,40,0.6,1,13,5,1,0.989864406874153,0.257587940137144,-0.0101355931258474,0.255114790983785,0.99,0.38
200,40,0.6,1,14,4,1,0.954426653427275,0.382224362793136,-0.0455733465727249,0.380479049083043,0.91,0.45
200,40,0.6,1,15,4,1,0.843792237770354,0.382594859709194,-0.156207762229646,0.403169776092896,0.89,0.29
200,40,0.6,1,16,3,1,1.02847173573056,0.264156745410418,0.028471735730563,0.262325817691825,0.95,0.39
200,40,0.6,1,17,3,1,0.956793493348782,0.341797417720971,-0.0432065066512182,0.340246245760763,0.92,0.46
200,40,0.6,1,18,2,1,1.00899543106442,0.342169410525243,0.00899543106442469,0.338828634200026,0.94,0.5
200,40,0.6,1,19,2,1,0.933739956891497,0.251900580216488,-0.066260043108503,0.253771967727063,0.92,0.42
200,40,0.6,1,20,2,1,0.998915249659215,0.293677320251527,-0.00108475034078526,0.290741723732313,0.95,0.53
