"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,13.3333333333333,0.8,2,173,10,4.55307087529106,25.2952604839581,-5.44692912470894,54.7113447687211,0,0.46
200,13.3333333333333,0.8,3,111,10,7.55317817717881,19.1663471588702,-2.44682182282119,24.9616207199155,0.57,0.76
200,13.3333333333333,0.8,4,79,10,8.73269247963909,10.3950795418924,-1.26730752036091,11.8971970976368,0.68,0.89
200,13.3333333333333,0.8,5,60,10,9.69821539617866,4.48365942948514,-0.301784603821336,4.52989678229389,0.88,0.96
200,13.3333333333333,0.8,6,48,10,9.72886050447676,2.4235086461791,-0.271139495523242,2.47279018574991,0.87,0.98
200,13.3333333333333,0.8,7,39,10,9.56421977696108,4.51203615417045,-0.435780223038922,4.6568201954206,0.84,0.96
200,13.3333333333333,0.8,8,32,10,9.76609290764756,2.43487355678001,-0.233907092352444,2.46523734906498,0.86,0.98
200,13.3333333333333,0.8,9,27,10,9.96641309338104,0.445466227125345,-0.0335869066189609,0.442139645150323,0.93,1
200,13.3333333333333,0.8,10,23,10,9.92530346726606,0.360027504209222,-0.0746965327339364,0.362006801169602,0.9,1
200,13.3333333333333,0.8,11,20,10,9.94618205728302,1.32668491612665,-0.0538179427169823,1.31631443792367,0.89,0.99
200,13.3333333333333,0.8,12,17,10,10.0227241624284,0.350171358820866,0.0227241624283909,0.347186032790729,0.92,1
200,13.3333333333333,0.8,13,14,10,9.97580293968508,0.306870190744041,-0.0241970603149202,0.304386986564485,0.95,1
200,13.3333333333333,0.8,14,12,10,9.94251679874318,0.227635798998899,-0.0574832012568187,0.228663759435642,0.92,1
200,13.3333333333333,0.8,15,11,10,9.96114622031148,0.221752464299868,-0.0388537796885231,0.221044555852953,0.93,1
200,13.3333333333333,0.8,16,9,10,10.0076377278293,0.275719085339687,0.00763772782928562,0.273020229372684,0.93,1
200,13.3333333333333,0.8,17,8,10,10.036010294526,0.217934646437624,0.0360102945260099,0.217052041285098,0.93,1
200,13.3333333333333,0.8,18,6,10,9.97374151741941,0.206971015573637,-0.0262584825805909,0.205590813325336,0.91,1
200,13.3333333333333,0.8,19,5,10,10.0047963202984,0.190511318712288,0.00479632029839294,0.18862921021357,0.89,1
200,13.3333333333333,0.8,20,4,10,10.0926672634934,0.18033405402977,0.0926672634934036,0.187117935212828,0.94,1
200,13.3333333333333,0.8,21,3,10,9.96086077940457,0.190659542389074,-0.039139220595434,0.190284825554001,0.9,1
200,13.3333333333333,0.8,22,3,10,9.98049218778786,0.145736793548735,-0.0195078122121402,0.144659980350552,0.94,1
200,13.3333333333333,0.8,23,2,10,10.0814784890923,0.166610954163499,0.0814784890923388,0.171583588806635,0.9,1
